air_temperature [Celsius],baromatic_pressure [hPa],ceiling_fan_energy [kWh],chilled_water_energy [kWh],dry_bulb_temp [Celsius],global_horizontal_solar_radiation [W/m2],illuminance [lux],indoor_co2 [ppm],indoor_relative_humidity [%],lighting_energy [kWh],occupant_count [number],occupant_presence [binary],outdoor_co2 [ppm],outdoor_relative_humidity [%],plug_load_energy [kWh],pm2.5 [mu_g/m3],sound_pressure_level [dba],supply_air_pressure [Pa],supply_air_temperature [Celsius],temp_setpoint [Celsius],timestamp,voc [ppb],wifi_connected_devices [number],wind_direction [Degree],wind_speed [m/s]
26.84600067,1005.198364,0.0,0.0,26.10163116,0.0,16.0466671,449.2666626,82.03932953,0.0,0,0,463.0935364,97.70488739,0.0,6.533333302,62.23333359,0.0,25.37455368,26.0,2021-09-07 00:00 +08:00,20.0,1,108.0929718,0.189999998
26.62599945,1005.198425,0.0,0.0,26.10161591,0.0,17.36666679,441.8333435,78.89633179,0.0,0,0,462.0963135,97.40485382,0.2,4.866666794,62.42666626,0.0,25.37455368,26.0,2021-09-07 00:05 +08:00,20.0,2,91.17533112,0.152101263
26.18499947,1005.200012,0.0,0.0,26.10000038,0.0,18.18000031,432.0666809,76.13766479,0.21,0,0,463.4760742,97.40000153,0.0,3.733333349,62.61000061,0.0,25.37455368,26.0,2021-09-07 00:10 +08:00,20.0,2,88.30000305,0.150000006
25.90517235,1005.200012,0.0,0.0,26.10000038,0.0,18.32413864,426.0689697,74.77069092,0.0,0,0,462.886261,97.29837799,0.0,3.103448391,62.77931213,0.0,25.37455368,26.0,2021-09-07 00:15 +08:00,20.0,1,109.6999969,0.150000006
25.76066589,1005.003235,0.0,0.0,26.10162163,0.0,18.91333389,419.4666748,73.42533112,0.0,0,0,462.4961548,97.40324402,0.0,2.566666603,62.75,0.0,25.37455368,26.0,2021-09-07 00:20 +08:00,20.0,2,211.6000061,0.150000006
25.65633392,1005.0,0.0,0.0,26.10162544,0.0,19.88666725,413.6666565,72.60099792,0.0,0,0,464.2661133,97.59999847,0.21,2.166666746,62.8133316,0.0,25.37455368,26.0,2021-09-07 00:25 +08:00,20.0,2,211.6000061,0.150000006
25.46933365,1005.0,0.0,0.0,26.10000038,0.0,18.68666649,408.4666748,72.24233246,0.2,0,0,462.6895752,97.59999847,0.0,2.0,62.9066658,0.0,25.37455368,26.0,2021-09-07 00:30 +08:00,20.0,1,260.9851685,0.150000006
25.41366577,1005.0,0.0,0.0,26.10000038,0.0,20.88999939,405.9333191,71.91833496,0.0,0,0,462.4994202,97.19999695,0.0,1.700000048,62.89666748,0.0,25.47460365,26.0,2021-09-07 00:35 +08:00,20.0,1,354.5023193,0.129999995
25.28066635,1004.996765,0.0,0.0,26.20000076,2.0,20.20000076,406.6333313,71.98733521,0.0,0,0,464.4758606,97.19999695,0.0,1.533333302,62.94666672,0.0,25.47460365,26.0,2021-09-07 00:40 +08:00,20.16666603,1,272.5443115,0.209999993
25.18928528,1004.900024,0.0,0.0,26.20000076,1.01632762,21.20714378,404.5714417,71.83071136,0.2,0,0,462.3092651,97.19999695,0.2,1.607142806,62.20357132,0.0,25.47460365,26.0,2021-09-07 00:45 +08:00,20.0357151,1,19.20468712,0.408367246
25.14366722,1004.898376,0.0,0.0,26.39999962,0.0,67.05999756,405.5666809,71.94033051,0.0,0,0,463.8890686,97.79676056,0.0,1.766666651,63.19666672,0.0,25.47460365,26.0,2021-09-07 00:50 +08:00,20.0,1,8.388350487,0.425942749
25.07666588,1004.900024,0.0,0.0,26.29999924,0.0,165.3399963,411.0,71.88700104,0.0,0,0,463.2958374,97.69999695,0.0,1.833333373,63.81000137,0.0,25.47460365,26.0,2021-09-07 00:55 +08:00,20.0,1,93.37058258,0.370000005
25.11033249,1004.799988,0.0,0.0,26.29999924,0.0,175.7033386,412.8333435,71.58066559,0.0,0,0,464.272583,97.20162201,0.0,1.899999976,63.87333298,0.0,25.47460365,26.0,2021-09-07 01:00 +08:00,20.0,2,96.08514404,0.349999994
25.18827629,1004.799988,0.0,0.0,26.29999924,0.0,179.0724182,414.6896667,71.42448425,0.202,0,0,462.6895752,97.0,0.2,1.586206913,63.70689774,0.0,25.47460365,26.0,2021-09-07 01:05 +08:00,20.0,2,53.9322319,0.328060389
25.26300049,1004.799988,0.0,0.0,26.29999924,0.0,180.3966675,422.7000122,71.2603302,0.0,0,0,462.7025757,96.80000305,0.0,1.600000024,63.5633316,0.0,25.47460365,26.0,2021-09-07 01:10 +08:00,20.0,1,63.04958344,0.7950176
25.2689991,1004.700012,0.0,0.0,26.39999962,0.0,181.6033325,429.5666809,71.1783371,0.0,0,0,462.7025146,96.20485687,0.0,1.600000024,63.36000061,0.0,25.47460365,26.0,2021-09-07 01:15 +08:00,31.96666718,1,75.96520233,0.598380387
25.29566574,1004.599976,0.0,0.0,26.39999962,0.0,181.6233368,430.9666748,70.8710022,0.0,0,0,462.1092224,96.0,0.0,1.833333373,63.75999832,0.0,25.47460365,26.0,2021-09-07 01:20 +08:00,233.3999939,1,91.66123199,0.419999987
25.29566574,1004.599976,0.0,0.0,26.39999962,0.0,185.6833344,432.9666748,70.83699799,0.202,0,0,463.089386,96.19999695,0.2,1.700000048,63.45333481,0.0,25.57201958,26.0,2021-09-07 01:25 +08:00,194.1000061,1,100.954422,0.456907123
25.20800018,1004.700012,0.0,0.0,26.40161514,0.0,196.8300018,430.1333313,71.09100342,0.0,0,0,462.8895264,96.5,0.0,1.733333349,63.52666855,0.0,25.57363129,26.0,2021-09-07 01:30 +08:00,108.8666687,2,78.27254486,0.222422689
25.22964287,1004.599976,0.0,0.0,26.5,0.0,203.6535645,432.75,70.89749908,0.0,0,0,462.3352661,96.79837799,0.0,1.642857194,62.88571548,0.0,25.57363129,26.0,2021-09-07 01:35 +08:00,55.0357132,2,93.50069427,0.593814075
25.18566704,1004.599976,0.0,0.0,26.5,0.0,201.6066742,434.0333252,71.00766754,0.0,0,0,463.4892578,97.0,0.0,1.566666722,63.93333435,0.0,25.57363129,26.0,2021-09-07 01:40 +08:00,20.0,1,91.47554016,0.372424573
25.18166733,1004.599976,0.0,0.0,26.60000038,0.0,201.3800049,436.5666809,71.00766754,0.203,0,0,462.6983032,97.1967392,0.0,1.299999952,63.79666519,0.0,25.57363129,26.0,2021-09-07 01:45 +08:00,20.0,1,109.3006058,0.479999989
25.21966743,1004.400024,0.0,0.0,26.60000038,0.0,201.9333344,436.4666748,70.97666931,0.0,0,0,463.8973389,97.5,0.2,1.200000048,63.81000137,0.0,25.57363129,26.0,2021-09-07 01:50 +08:00,20.0,1,101.9088821,0.360000014
25.19766617,1004.400024,0.0,0.0,26.70000076,0.0,197.3266602,436.8999939,71.08733368,0.0,0,0,463.1089478,97.79837036,0.0,1.166666627,63.66666794,0.0,25.57363129,26.0,2021-09-07 01:55 +08:00,20.0,1,11.19999981,0.059999999
25.20068932,1004.398376,0.0,0.0,26.60162163,0.0,197.1482697,432.620697,71.01586151,0.0,0,0,463.3120422,97.50324249,0.0,1.137930989,63.46551895,0.0,25.57363129,26.0,2021-09-07 02:00 +08:00,20.0,1,163.8212585,0.101945542
25.20433426,1004.400024,0.0,0.0,26.60000038,0.016327905,210.3733368,434.4666748,70.87866974,0.202,0,0,463.7022095,97.69999695,0.0,1.100000024,63.59000015,0.0,25.6738224,26.0,2021-09-07 02:05 +08:00,20.0,2,108.8235245,0.200000003
25.23866653,1004.400024,0.0,0.0,26.60000038,0.0,228.0200043,436.1666565,70.70433044,0.0,0,0,463.0991516,98.09999847,0.2,1.233333349,63.40333176,0.0,25.6738224,26.0,2021-09-07 02:10 +08:00,20.0,2,1.500844002,0.112276658
25.23933411,1004.398376,0.0,0.0,26.60000038,0.0,227.1633301,435.8333435,70.60366821,0.0,0,0,464.2887878,97.90000153,0.0,1.133333325,63.49333191,0.0,25.6738224,26.0,2021-09-07 02:15 +08:00,20.20000076,2,329.7065125,0.237870991
25.22299957,1004.299988,0.0,0.0,26.60000038,0.0,231.4900055,436.4333191,70.66500092,0.0,0,0,464.4790344,98.09999847,0.0,1.033333302,63.59666824,0.0,25.6738224,26.0,2021-09-07 02:20 +08:00,22.43333244,1,338.9004211,0.169988349
25.18199921,1004.350098,0.0,0.0,26.60000038,0.0,234.4700012,436.0666809,70.91500092,0.2,0,0,464.2727661,98.09999847,0.0,1.133333325,63.32333374,0.0,25.6738224,26.0,2021-09-07 02:25 +08:00,24.0,1,185.5364075,0.135129824
25.21750069,1004.299988,0.0,0.0,26.60000038,0.0,232.6464233,433.3214417,70.6921463,0.0,0,0,463.1219788,98.10001373,0.2,1.214285731,62.64642715,0.0,25.6738224,26.0,2021-09-07 02:30 +08:00,20.5357151,1,92.31917572,0.07000915
25.24633408,1004.299988,0.0,0.0,26.60000038,0.0,224.4533386,425.9333191,70.53700256,0.0,0,0,463.4957275,98.19999695,0.0,1.299999952,63.79666519,0.0,25.6738224,26.0,2021-09-07 02:35 +08:00,20.0,1,269.3999939,0.071941637
25.22100067,1004.299988,0.0,0.0,26.5,0.0,228.7299957,428.9333191,70.7460022,0.0,0,0,463.8955688,98.30000305,0.0,1.466666698,63.69666672,0.0,25.77322578,26.0,2021-09-07 02:40 +08:00,20.0,2,84.5,0.140000001
25.22699928,1004.299988,0.0,0.0,26.5,0.0,212.0399933,435.0,70.75900269,0.0,0,0,463.2893677,98.5,0.0,1.933333278,63.72999954,0.0,25.77322578,26.0,2021-09-07 02:45 +08:00,20.0,2,350.1734924,0.277730167
25.2427578,1004.299988,0.0,0.0,26.5,0.98365587,191.7827606,440.4827576,70.75344849,0.0,0,0,463.3056946,98.80000305,0.2,2.034482718,64.63448334,0.0,25.77322578,26.0,2021-09-07 02:50 +08:00,20.0,2,119.4642639,0.100000001
25.24233246,1004.10321,0.0,0.0,26.5,0.0,203.8533325,444.2999878,70.65966797,0.0,0,0,463.892334,99.19675446,0.0,2.200000048,63.77000046,0.0,25.77322578,26.0,2021-09-07 02:55 +08:00,20.13333321,1,117.4000015,0.100000001
25.16566658,1004.200012,0.0,0.0,26.5,0.983848751,214.3000031,449.5666809,70.89266968,0.0,0,0,463.8858032,99.30000305,0.0,2.166666746,63.9066658,0.0,25.77322578,26.0,2021-09-07 03:00 +08:00,20.06666756,1,116.0141602,0.230000004
25.14900017,1004.200012,0.0,0.0,26.5,0.0,220.9166718,450.0,71.14733124,0.0,0,0,464.4822693,99.5,0.0,2.233333349,63.93000031,0.0,25.77322578,26.0,2021-09-07 03:05 +08:00,20.10000038,1,115.1472092,0.244329512
25.27599907,1004.200012,0.0,0.0,26.60000038,0.0,220.6466675,441.5333252,70.55366516,0.0,0,0,463.7118225,99.29998016,0.2,2.166666746,64.22000122,0.0,25.77322578,26.0,2021-09-07 03:10 +08:00,20.39999962,1,79.99819946,0.219999999
25.42333412,1004.099976,0.0,0.0,26.60000038,0.0,219.0299988,443.2000122,70.53266907,0.0,0,0,463.508728,99.0,0.0,2.5,64.21666718,0.0,25.77322578,26.0,2021-09-07 03:15 +08:00,21.60000038,2,266.3431396,0.413657755
25.25214195,1004.099976,0.0,0.0,26.70000076,1.983770967,220.625,440.6785583,71.05213928,0.0,0,0,463.892334,97.90324402,0.0,2.392857075,62.88928604,0.0,25.77322578,26.0,2021-09-07 03:20 +08:00,21.1785717,2,308.8464966,0.319026262
25.16866684,1004.099976,0.0,0.0,26.70000076,1.999950171,228.2866669,441.0,71.27066803,0.0,0,0,464.0791321,97.80000305,0.0,2.533333302,64.15333557,0.0,25.77322578,26.0,2021-09-07 03:25 +08:00,20.06666756,2,266.5005188,0.779994488
25.22500038,1004.099976,0.0,0.0,26.70000076,0.0,232.5233307,447.6666565,70.96633148,0.0,0,0,463.9053345,97.70162201,0.2,2.566666603,63.72333145,0.0,25.87281799,26.0,2021-09-07 03:30 +08:00,20.0,1,267.0032654,0.620487869
25.87599945,1004.099976,0.0,0.0,26.70000076,0.0,230.2566681,455.4333191,69.04699707,0.0,0,0,465.4621277,98.29508972,0.0,2.866666555,63.54333496,0.0,25.87281799,26.0,2021-09-07 03:35 +08:00,20.26666641,1,298.53479,0.566386998
26.2451725,1004.099976,0.0,0.0,26.70000076,0.016278343,191.1000061,469.4482727,68.38103485,0.0,0,0,463.8988342,98.5,0.0,2.931034565,63.55862045,0.0,25.87281799,26.0,2021-09-07 03:40 +08:00,24.79310417,1,297.1235046,0.738697767
26.44233322,1003.900024,0.0,0.0,26.60000038,0.0,150.7466736,484.3999939,68.14066315,0.0,0,0,464.8851624,99.49676514,0.0,2.833333254,62.60666656,0.0,25.87281799,26.0,2021-09-07 03:45 +08:00,162.4333344,1,258.7902832,1.106443167
